user_id,elo,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12893028,975,17,99,108,75,101,2,70,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11827750,1489,1292,163,120,173,-39,-35,-29,-45,144,-5,139,173,-39,-35,-25,-32,-37,145,-45,143,-41,116,126,149,-71,-45,-44,185,-30,-34,117,-26,139,144,105,99,-63,63,-19,-13,-47,-49,171,-86,181,-72,129,162,-13,-83,-79,162,138,-43,-23,-57,-51,129,134,-91,-44,-39,-63,-56,169,-71,-87,99,-60,114,-58,-69,151,154,-59,103,-60,173,-66,187,-60,-67,128,92,-63,-25,-37,-34,152,-34,-68,175,-66,-174,-124,-49,-74,84,-31,-26,-36
9322212,1467,488,61,-64,-74,-43,154,-35,-1,-12,-36,-23,192,126,-28,-13,-37,-57,-68,-77,-26,-33,-33,-2,-8,-11,220,-63,-41,-34,129,198,-59,-30,-36,-30,-31,169,-45,-13,-17,-9,-75,-62,-25,-3,-26,211,184,281,-100,-16,156,-22,-14,-13,-11,-24,-4,143,207,-29,91,-11,-16,-11,-14,151,-29,204,114,41,-17,-23,157,-32,-37,-10,-36,-31,122,-36,-50,-34,-51,,,,,,,,,,,,,,,,,
8887131,1462,387,-26,95,-48,-14,-23,-32,122,-33,-26,80,-52,-51,-27,115,-30,-21,-43,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6864921,1412,580,112,48,100,65,125,105,5,-15,-20,124,-9,-10,-14,-4,-5,3,-11,66,80,-21,-19,-5,-11,-10,11,-17,-13,-24,-10,-4,-10,0,-22,-8,18,-3,71,-61,90,-27,-36,-34,-41,70,-18,-23,-5,97,-32,-26,-11,123,-41,-40,-27,49,-49,-37,-39,-14,-44,52,-16,43,-41,-5,-53,77,-63,-23,-44,100,-63,-34,-9,-8,-15,-9,102,-45,-51,-24,-17,-44,-34,-20,-10,43,-34,-44,-40,-18,-18,-18,-3,-22,-13,91,-8,127
18014769,1406,67,169,-42,-7,-16,-21,42,-12,-20,-13,-16,-13,-14,286,-15,-10,-8,186,-9,-15,-12,-19,-12,151,59,-6,147,7,-9,58,145,-16,-8,-11,151,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15088128,1387,87,-21,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9457921,1385,203,-18,-22,-11,74,131,-18,-6,-18,-7,-12,-5,23,52,162,-20,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18205651,1379,118,-99,-37,-28,-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15115852,1375,586,57,-9,-40,81,-37,-25,-25,-8,83,67,-70,-48,-45,-29,121,99,-35,-37,-21,-39,98,96,-42,-13,-28,-22,-28,-33,3,122,0,-32,-63,76,-94,-66,-21,-42,-43,154,74,178,-60,108,-82,-79,-82,145,-24,-40,133,-25,-41,107,-62,-44,-33,-41,-49,120,138,-66,136,-73,-41,96,151,-44,-22,133,-82,-60,-36,36,-31,-15,60,-50,-32,-38,-25,-41,-24,135,-65,-18,-22,33,-20,-2,-34,64,-71,-35,-17,-18,-28,61,-14,140
8198712,1373,206,118,-27,-23,-26,114,124,-75,-37,-15,79,148,142,53,-64,139,-49,150,-58,-40,-20,-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
