,user_id,elo,number,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,means,std,min,max
10,8198712,1373,206,118,-27.0,-23.0,-26.0,114.0,124.0,-75.0,-37.0,-15.0,79.0,148.0,142.0,53.0,-64.0,139.0,-49.0,150.0,-58.0,-40.0,-20.0,-26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,33.05,53.0,150.0
11,9870909,1368,588,-31,135.0,-29.0,-30.0,-20.0,-11.0,-9.0,54.0,162.0,100.0,-30.0,-33.0,-5.0,181.0,167.0,181.0,-21.0,-30.0,-69.0,52.0,-87.0,-59.0,-29.0,-9.0,-20.0,-28.0,85.0,-29.0,-23.0,-31.0,-29.0,109.0,-30.0,-38.0,-37.0,-18.0,-31.0,-23.0,45.0,-102.0,-5.0,154.0,-28.0,-37.0,-26.0,-13.0,100.0,-27.0,-16.0,24.0,35.0,-26.0,163.0,127.0,105.0,-28.0,-22.0,-63.0,-26.0,-8.0,130.0,-30.0,-34.0,-14.0,89.0,-26.0,-33.0,-43.0,-20.0,-21.0,58.0,-52.0,-56.0,38.0,-26.0,108.0,-45.0,-39.0,-17.0,-24.0,-31.0,0.0,-30.0,-2.0,169.0,-36.0,-27.0,6.0,-11.0,-54.0,84.0,-25.0,245.0,113.0,-28.0,102.0,-69.0,-35.0,-31.0,-21.0,114,51.72,35.0,245.0
12,11628058,1365,150,134,-6.0,-58.0,-85.0,51.0,36.0,-22.0,-15.0,-55.0,-15.0,57.0,-58.0,-55.0,-27.0,-32.0,-27.0,-45.0,-12.0,108.0,-121.0,-32.0,-37.0,-27.0,-26.0,-30.0,-21.0,136.0,75.0,-39.0,-35.0,128.0,-24.0,143.0,-32.0,115.0,-36.0,129.0,-21.0,159.0,-39.0,104.0,-62.0,-27.0,-40.0,-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,34.35,51.0,159.0
13,18001572,1363,45,91,-27.0,135.0,-80.0,-37.0,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,31.11,91.0,135.0
14,8613466,1360,338,4,7.0,8.0,6.0,11.0,42.0,-19.0,6.0,7.0,85.0,-39.0,-28.0,-31.0,-20.0,87.0,-27.0,92.0,-33.0,-31.0,-3.0,-5.0,64.0,-32.0,116.0,-21.0,55.0,-17.0,-27.0,-16.0,65.0,-42.0,-32.0,-39.0,-42.0,111.0,106.0,-34.0,109.0,103.0,94.0,89.0,-14.0,92.0,-28.0,-35.0,62.0,-40.0,-26.0,-27.0,-44.0,-44.0,-30.0,115.0,-24.0,-35.0,-33.0,-14.0,79.0,75.0,51.0,-39.0,-47.0,-31.0,-33.0,46.0,103.0,-38.0,-40.0,-31.0,-32.0,-32.0,-62.0,8.0,109.0,-38.0,-25.0,-42.0,-32.0,-20.0,-41.0,55.0,-13.0,-24.0,-30.0,57.0,-10.0,-10.0,-22.0,66.0,54.0,-62.0,-31.0,-19.0,-26.0,-19.0,-12.0,-10.0,99.0,-8.0,44.0,69,34.03,7.0,116.0
15,15028519,1356,9,148,104.0,50.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,49.08,50.0,148.0
16,14160438,1356,146,141,-31.0,122.0,125.0,-18.0,-40.0,-33.0,91.0,-24.0,104.0,-35.0,-25.0,-37.0,101.0,-19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,18.5,91.0,141.0
17,9771006,1354,350,144,75.0,-17.0,-13.0,87.0,-60.0,-32.0,-69.0,-9.0,-9.0,-14.0,-11.0,-8.0,-12.0,-15.0,33.0,54.0,-15.0,145.0,-13.0,-13.0,66.0,-5.0,-12.0,135.0,-11.0,-22.0,-8.0,89.0,-17.0,-20.0,-6.0,-39.0,-6.0,-9.0,165.0,93.0,-14.0,-14.0,136.0,-11.0,59.0,-8.0,127.0,97.0,132.0,-13.0,-30.0,-23.0,-5.0,94.0,140.0,-50.0,-11.0,4.0,-11.0,-4.0,-6.0,-28.0,94.0,-8.0,-16.0,-30.0,155.0,-15.0,-7.0,99.0,-10.0,-12.0,-30.0,70.0,-13.0,-11.0,-9.0,84.0,-14.0,-7.0,-16.0,146.0,-157.0,-9.0,-18.0,-120.0,119.0,-3.0,-54.0,-24.0,49.0,-19.0,-9.0,-8.0,28.0,99.0,124.0,-16.0,-64.0,-32.0,143.0,107.0,-5.0,107,32.74,49.0,165.0
18,18136007,1354,97,38,-44.0,-36.0,-46.0,0.0,-52.0,-39.0,-33.0,-40.0,39.0,-39.0,-32.0,-30.0,5.0,-35.0,-16.0,-21.0,-25.0,98.0,-69.0,-80.0,-61.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,33.57,5.0,98.0
19,1848386,1352,375,99,-10.0,-21.0,-24.0,55.0,-29.0,-13.0,31.0,81.0,81.0,-23.0,-26.0,-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,26.59,31.0,99.0
