,user_id,elo,number,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,means,std,min,max
0,8857209,935,163,2991,6093.0,7276.0,9403.0,1263.0,19861.0,6408.0,10504.0,9514.0,8957.0,9677.0,8756.0,9302.0,8920.0,6913.0,455.0,9240.0,8801.0,3290.0,13576.0,9891.0,8204.0,1005.0,10031.0,9012.0,8616.0,7540.0,8644.0,9904.0,7790.0,9036.0,8563.0,6599.0,18844.0,25513.0,23527.0,14387.0,12588.0,10888.0,12179.0,7604.0,6756.0,9189.0,7187.0,8699.0,9745.0,10830.0,15187.0,825.0,9672.0,10291,4329.34,3290.0,25513.0
1,18104903,1596,191,28809,31781.0,22922.0,28094.0,12872.0,35212.0,31491.0,26330.0,37023.0,38369.0,27226.0,35445.0,9080.0,20895.0,19912.0,32049.0,28492.0,22500.0,27350.0,32447.0,13815.0,31115.0,15180.0,33403.0,19959.0,32755.0,20824.0,25463.0,17526.0,24610.0,25430.0,26836.0,22964.0,22967.0,29220.0,14455.0,20706.0,15710.0,35881.0,22051.0,22761.0,23934.0,13795.0,33318.0,21426.0,20045.0,26330.0,26212.0,23227.0,29679.0,26575,5811.79,15180.0,38369.0
2,9990298,1461,61,19689,24001.0,23921.0,25614.0,28264.0,26162.0,19155.0,22406.0,24287.0,19947.0,17340.0,27010.0,13702.0,31200.0,26875.0,22887.0,24812.0,19252.0,19605.0,21304.0,25246.0,16223.0,28466.0,15271.0,20579.0,29852.0,19409.0,26640.0,23227.0,27392.0,22577.0,11896.0,23356.0,16327.0,28434.0,21888.0,23332.0,24006.0,19498.0,21971.0,22004.0,19351.0,22316.0,17461.0,24131.0,8105.0,23604.0,18677.0,21277.0,20315.0,23001,3518.83,16327.0,31200.0
3,18321492,1452,58,19445,27583.0,26757.0,26392.0,23766.0,21498.0,21597.0,15901.0,21075.0,20324.0,29112.0,21005.0,14293.0,5810.0,21093.0,26793.0,24407.0,8015.0,12911.0,17623.0,25747.0,20983.0,20548.0,21498.0,23116.0,21975.0,22390.0,20569.0,20523.0,17397.0,23149.0,24018.0,3760.0,16968.0,18209.0,19784.0,20617.0,20878.0,16981.0,15793.0,25391.0,18208.0,22126.0,15818.0,22856.0,17395.0,19244.0,13432.0,18363.0,15507.0,20993,3530.14,14293.0,29112.0
4,9711724,1442,45,24575,23928.0,22865.0,20344.0,18916.0,10000.0,20372.0,21031.0,24890.0,15309.0,22823.0,22591.0,23468.0,23926.0,28584.0,20052.0,16448.0,17152.0,25340.0,20678.0,23818.0,16285.0,19883.0,15637.0,17750.0,15569.0,19959.0,20735.0,12758.0,20727.0,15007.0,20550.0,14928.0,21073.0,24860.0,20923.0,17304.0,8265.0,20847.0,14172.0,21493.0,20611.0,19797.0,20268.0,,,,,,,20532,3232.89,14928.0,28584.0
5,13359934,1399,74,12535,26201.0,16599.0,26790.0,21678.0,18480.0,25408.0,25985.0,20844.0,20875.0,12200.0,17665.0,8625.0,25265.0,23095.0,23789.0,2306.0,25830.0,20034.0,13564.0,4656.0,13496.0,26720.0,20099.0,19553.0,23640.0,17051.0,19521.0,23003.0,23349.0,18873.0,24503.0,17828.0,14540.0,25512.0,29930.0,25718.0,16785.0,15714.0,23298.0,24611.0,14840.0,10147.0,15937.0,19966.0,22838.0,825.0,18401.0,20908.0,23761.0,20827,4429.94,12200.0,29930.0
6,8263967,1387,48,23161,21669.0,21354.0,19879.0,11661.0,23812.0,21164.0,24338.0,4535.0,26632.0,17308.0,20793.0,20431.0,20061.0,17079.0,22972.0,19001.0,24345.0,21080.0,25459.0,16454.0,19118.0,21493.0,13966.0,24192.0,20993.0,15779.0,17248.0,19241.0,21245.0,5160.0,19574.0,18291.0,23159.0,19850.0,12488.0,6300.0,16832.0,13337.0,13154.0,13369.0,8925.0,14661.0,11032.0,19666.0,18866.0,,,,,19195,3935.87,11032.0,26632.0
7,18022816,1386,84,19977,18851.0,29150.0,27058.0,25261.0,29682.0,30637.0,28076.0,14181.0,18837.0,29674.0,10830.0,26737.0,28030.0,26098.0,7740.0,25074.0,29793.0,21661.0,18009.0,18289.0,10500.0,24473.0,27558.0,29497.0,22970.0,26813.0,30590.0,24945.0,32174.0,16893.0,27614.0,24837.0,22260.0,27058.0,26268.0,25624.0,23184.0,18206.0,22372.0,28051.0,13280.0,25295.0,24676.0,26079.0,20429.0,27329.0,21578.0,21148.0,22414.0,24916,3927.62,16893.0,32174.0
8,14586220,1382,54,8330,19433.0,9348.0,23720.0,22402.0,20632.0,13282.0,21648.0,17532.0,17783.0,15644.0,24370.0,19862.0,16966.0,20828.0,30828.0,20676.0,17037.0,17723.0,19196.0,17127.0,19935.0,14614.0,21000.0,20429.0,18497.0,21575.0,19669.0,17341.0,7755.0,15018.0,23196.0,22716.0,16627.0,21344.0,23014.0,20291.0,6150.0,17757.0,17638.0,18756.0,19215.0,13184.0,17010.0,21110.0,16314.0,15464.0,16524.0,4725.0,13354.0,19072,3356.65,13184.0,30828.0
9,18260186,1376,120,15345,30978.0,31443.0,41075.0,35350.0,25475.0,40673.0,47492.0,25482.0,37945.0,30191.0,30111.0,29194.0,32732.0,39099.0,25022.0,40996.0,42887.0,32474.0,31867.0,40893.0,24666.0,21961.0,34292.0,29247.0,25018.0,30613.0,35576.0,43316.0,27317.0,40672.0,26751.0,22332.0,31959.0,30156.0,30781.0,32751.0,32937.0,13155.0,46024.0,28910.0,41790.0,16380.0,38575.0,31350.0,27797.0,31307.0,41292.0,33055.0,24846.0,33608,6213.83,24666.0,47492.0
